,title,author,genres,description,title_gs,img,sentiment_BERT
10,I'm Glad My Mom Died,Jennette McCurdy,Biography & Autobiography,"""Jennette McCurdy was six years old when she had her first acting audition. Her mother's dream was for her only daughter to become a star, and Jennette would do anything to make her mother happy. So she went along with what Mom called ""calorie restriction,"" eating little and weighing herself five times a day. She endured extensive at-home makeovers while Mom chided, ""Your eyelashes are invisible, okay? You think Dakota Fanning doesn't tint hers?"" She was even showered by Mom until age sixteen while sharing her diaries, email, and all her income. In I'm Glad My Mom Died, Jennette recounts all this in unflinching detail--just as she chronicles what happens when the dream finally comes true. Cast in a new Nickelodeon series called iCarly, she is thrust into fame. Though Mom is ecstatic, emailing fan club moderators and getting on a first-name basis with the paparazzi (""Hi Gale!""), Jennette is riddled with anxiety, shame, and self-loathing, which manifest into eating disorders, addiction, and a series of unhealthy relationships. These issues only get worse when, soon after taking the lead in the iCarly spinoff Sam & Cat alongside Ariana Grande, her mother dies of cancer. Finally, after discovering therapy and quitting acting, Jennette embarks on recovery and decides for the first time in her life what she really wants."" -- Amazon.com.",I'm+Glad+My+Mom+Died,http://books.google.com/books/content?id=13mAEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
11,"Friends, Lovers and the Big Terrible Thing",Matthew Perry,Biography & Autobiography,"The beloved star of Friends takes us behind the scenes of the hit sitcom and his struggles with addiction in this candid, funny, and revelatory memoir that delivers a powerful message of hope and persistence.'Hi, my name is Matthew, although you may know me by another name. My friends call me Matty. AndI should be dead.'So begins the riveting story of acclaimed actor Matthew Perry, taking us along on his journey from childhood ambition to fame to addiction and recovery in the aftermath of a life-threatening health scare. Before the frequent hospital visits and stints in rehab, there was five-year-old Matthew, who travelled from Montreal to Los Angeles, shuffling between his separated parents; fourteen-year-old Matthew, who was a nationally ranked tennis star in Canada; twenty-four-year-old Matthew, who nabbed a coveted role as a lead cast member on the talked-about pilot then called Friends Like Us. . . and so much more.In an extraordinary story that only he could tell - and in the heartfelt, hilarious, and warmly familiar way only he could tell it - Matthew Perry lays bare the fractured family that raised him (and also left him to his own devices), the desire for recognition that drove him to fame, and the void inside him that could not be filled even by his greatest dreams coming true. But he also details the peace he's found in sobriety and how he feels about the ubiquity of Friends, sharing stories about his castmates and other stars he met along the way. Frank, self-aware, and with his trademark humour, Perry vividly depicts his lifelong battle with addiction and what fuelled it despite seemingly having it all.Friends, Lovers, and the Big Terrible Thing is an unforgettable memoir that is both intimate and eye-opening - as well as a hand extended to anyone struggling with sobriety. Unflinchingly honest, moving, and uproariously funny, this is the book fans have been waiting for.","Friends,+Lovers+and+the+Big+Terrible+Thing",http://books.google.com/books/content?id=g13GzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,positive
12,The Surrender,Toni Bentley,Anal sex,"Few women do it, and even fewer will admit to it. But in Toni Bentley's daring and intimate memoir, she pulls back the sheets on an erotic experience that has been forbidden since the Bible.",The+Surrender,http://books.google.com/books/content?id=engD0ZrBfJsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,positive
13,Revolutionary Power,Shalanda Baker,Political Science,"In September 2017, Hurricane Maria hit Puerto Rico, completely upending the energy grid of the small island. The nearly year-long power outage that followed vividly shows how the new climate reality intersects with race and access to energy. The island is home to brown and black US citizens who lack the political power of those living in the continental US. As the world continues to warm and storms like Maria become more commonplace, it is critical that we rethink our current energy system to enable reliable, locally produced, and locally controlled energy without replicating the current structures of power and control. In Revolutionary Power, Shalanda Baker arms those made most vulnerable by our current energy system with the tools they need to remake the system in the service of their humanity. She argues that people of color, poor people, and indigenous people must engage in the creation of the new energy system in order to upend the unequal power dynamics of the current system. Revolutionary Power is a playbook for the energy transformation complete with a step-by-step analysis of the key energy policy areas that are ripe for intervention. Baker tells the stories of those who have been left behind in our current system and those who are working to be architects of a more just system. She draws from her experience as an energy-justice advocate, a lawyer, and a queer woman of color to inspire activists working to build our new energy system. Climate change will force us to rethink the way we generate and distribute energy and regulate the system. But how much are we willing to change the system? This unique moment in history provides an unprecedented opening for a deeper transformation of the energy system, and thus, an opportunity to transform society. Revolutionary Power shows us how.",Revolutionary+Power,http://books.google.com/books/content?id=0bQHEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
14,The Body Keeps the Score,Bessel A. Van der Kolk,Medical,"Originally published by Viking Penguin, 2014.",The+Body+Keeps+the+Score,http://books.google.com/books/content?id=vHnZCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,neutral
15,And There Was Light,Jon Meacham,Biography & Autobiography,"Pulitzer Prize–winning biographer and #1 New York Times bestselling author Jon Meacham chronicles the life of Abraham Lincoln, charting how—and why—he confronted secession, threats to democracy, and the tragedy of slavery to expand the possibilities of America. “In his captivating new book, Jon Meacham has given us the Lincoln for our time.”—Henry Louis Gates, Jr. A president who governed a divided country has much to teach us in a twenty-first-century moment of polarization and political crisis. Hated and hailed, excoriated and revered, Abraham Lincoln was at the pinnacle of American power when implacable secessionists gave no quarter in a clash of visions bound up with money, race, identity, and faith. In him we can see the possibilities of the presidency as well as its limitations. At once familiar and elusive, Lincoln tends to be seen as the greatest of American presidents—a remote icon—or as a politician driven more by calculation than by conviction. This illuminating new portrait gives us a very human Lincoln—an imperfect man whose moral antislavery commitment, essential to the story of justice in America, began as he grew up in an antislavery Baptist community; who insisted that slavery was a moral evil; and who sought, as he put it, to do right as God gave him to see the right. This book tells the story of Lincoln from his birth on the Kentucky frontier in 1809 to his leadership during the Civil War to his tragic assassination in 1865: his rise, his self-education, his loves, his bouts of depression, his political failures, his deepening faith, and his persistent conviction that slavery must end. In a nation shaped by the courage of the enslaved of the era and by the brave witness of Black Americans, Lincoln’s story illustrates the ways and means of politics in a democracy, the roots and durability of racism, and the capacity of conscience to shape events.",And+There+Was+Light,http://books.google.com/books/content?id=bp6OEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,positive
16,What If?,Randall Munroe,Humor,"The creator of the incredibly popular webcomic xkcd presents his heavily researched answers to his fans' oddest questions, including “What if I took a swim in a spent-nuclear-fuel pool?” and “Could you build a jetpack using downward-firing machine guns?” 100,000 first printing.",What+If?,http://books.google.com/books/content?id=tgZIBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
17,The Philosophy of Modern Song,Bob Dylan,Biography & Autobiography,"The Philosophy of Modern Song is Bob Dylan’s first book of new writing since 2004’s Chronicles: Volume One—and since winning the Nobel Prize for Literature in 2016. Dylan, who began working on the book in 2010, offers his extraordinary insight into the nature of popular music. He writes over sixty essays focusing on songs by other artists, spanning from Stephen Foster to Elvis Costello, and in between ranging from Hank Williams to Nina Simone. He analyzes what he calls the trap of easy rhymes, breaks down how the addition of a single syllable can diminish a song, and even explains how bluegrass relates to heavy metal. These essays are written in Dylan’s unique prose. They are mysterious and mercurial, poignant and profound, and often laugh-out-loud funny. And while they are ostensibly about music, they are really meditations and reflections on the human condition. Running throughout the book are nearly 150 carefully curated photos as well as a series of dream-like riffs that, taken together, resemble an epic poem and add to the work’s transcendence. In 2020, with the release of his outstanding album Rough and Rowdy Ways, Dylan became the first artist to have an album hit the Billboard Top 40 in each decade since the 1960s. The Philosophy of Modern Song contains much of what he has learned about his craft in all those years, and like everything that Dylan does, it is a momentous artistic achievement.",The+Philosophy+of+Modern+Song,http://books.google.com/books/content?id=SEJiEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
18,Dreamland,Kevin Baker,Fiction,"A literary tour de force, a magnificent chronicle of a remarkable era and a place of dreams In a stunning work of imagination and memory, author Kevin Baker brings to mesmerizing life a vibrant, colorful, thrilling, and dangerous New York City in the earliest years of the twentieth century. A novel breathtaking in its scope and ambition, it is the epic saga of newcomers drawn to the promise of America—gangsters and laborers, hucksters and politicians, radicals, reformers, murderers, and sideshow oddities—whose stories of love, revenge, and tragedy interweave and shine in the artificial electric dazzle of a wondrous place called Dreamland.",Dreamland,http://books.google.com/books/content?id=Vn2OohoKWlcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
19,Triple Cross,Mark Sullivan,Fiction,New York Times bestseller (Purification Ceremony) Mark Sullivan returns with his most compelling thriller in well over a decade.,Triple+Cross,http://books.google.com/books/content?id=FVRqrE1V3fEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
20,Mad Honey,Jodi Picoult,Fiction,"NEW YORK TIMES BESTSELLER • “Alternatingly heart-pounding and heartbreaking. This collaboration between two best-selling authors seamlessly weaves together Olivia and Lily’s journeys, creating a provocative exploration of the strength that love and acceptance require.”—The Washington Post GOOD MORNING AMERICA BOOK CLUB PICK • PEOPLE’S BOOK OF THE WEEK • ONE OF THE BEST BOOKS OF THE YEAR: PopSugar Olivia McAfee knows what it feels like to start over. Her picture-perfect life—living in Boston, married to a brilliant cardiothoracic surgeon, raising their beautiful son, Asher—was upended when her husband revealed a darker side. She never imagined that she would end up back in her sleepy New Hampshire hometown, living in the house she grew up in and taking over her father’s beekeeping business. Lily Campanello is familiar with do-overs, too. When she and her mom relocate to Adams, New Hampshire, for her final year of high school, they both hope it will be a fresh start. And for just a short while, these new beginnings are exactly what Olivia and Lily need. Their paths cross when Asher falls for the new girl in school, and Lily can’t help but fall for him, too. With Ash, she feels happy for the first time. Yet she wonders if she can trust him completely. . . . Then one day, Olivia receives a phone call: Lily is dead, and Asher is being questioned by the police. Olivia is adamant that her son is innocent. But she would be lying if she didn’t acknowledge the flashes of his father’s temper in Ash, and as the case against him unfolds, she realizes he’s hidden more than he’s shared with her. Mad Honey is a riveting novel of suspense, an unforgettable love story, and a moving and powerful exploration of the secrets we keep and the risks we take in order to become ourselves.",Mad+Honey,http://books.google.com/books/content?id=bbJYEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
21,A World of Curiosities,Louise Penny,Fiction,"INSTANT #1 NEW YORK TIMES BESTSELLER Chief Inspector Armand Gamache returns in the eighteenth book in #1 New York Times bestseller Louise Penny's beloved series. It’s spring and Three Pines is reemerging after the harsh winter. But not everything buried should come alive again. Not everything lying dormant should reemerge. But something has. As the villagers prepare for a special celebration, Armand Gamache and Jean-Guy Beauvoir find themselves increasingly worried. A young man and woman have reappeared in the Sûreté du Québec investigators’ lives after many years. The two were young children when their troubled mother was murdered, leaving them damaged, shattered. Now they’ve arrived in the village of Three Pines. But to what end? Gamache and Beauvoir’s memories of that tragic case, the one that first brought them together, come rushing back. Did their mother’s murder hurt them beyond repair? Have those terrible wounds, buried for decades, festered and are now about to erupt? As Chief Inspector Gamache works to uncover answers, his alarm grows when a letter written by a long dead stone mason is discovered. In it the man describes his terror when bricking up an attic room somewhere in the village. Every word of the 160-year-old letter is filled with dread. When the room is found, the villagers decide to open it up. As the bricks are removed, Gamache, Beauvoir and the villagers discover a world of curiosities. But the head of homicide soon realizes there’s more in that room than meets the eye. There are puzzles within puzzles, and hidden messages warning of mayhem and revenge. In unsealing that room, an old enemy is released into their world. Into their lives. And into the very heart of Armand Gamache’s home.",A+World+of+Curiosities,http://books.google.com/books/content?id=cEJtEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
22,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Fiction,"NEW YORK TIMES BEST SELLER • Sam and Sadie—two college friends, often in love, but never lovers—become creative partners in a dazzling and intricately imagined world of video game design, where success brings them fame, joy, tragedy, duplicity, and, ultimately, a kind of immortality. It is a love story, but not one you have read before. ""Delightful and absorbing."" —The New York Times • ""Utterly brilliant."" —John Green One of the Best Books of the Year: The New York Times, Entertainment Weekly, TIME, GoodReads, Oprah Daily From the best-selling author of The Storied Life of A. J. Fikry: On a bitter-cold day, in the December of his junior year at Harvard, Sam Masur exits a subway car and sees, amid the hordes of people waiting on the platform, Sadie Green. He calls her name. For a moment, she pretends she hasn’t heard him, but then, she turns, and a game begins: a legendary collaboration that will launch them to stardom. These friends, intimates since childhood, borrow money, beg favors, and, before even graduating college, they have created their first blockbuster, Ichigo. Overnight, the world is theirs. Not even twenty-five years old, Sam and Sadie are brilliant, successful, and rich, but these qualities won’t protect them from their own creative ambitions or the betrayals of their hearts. Spanning thirty years, from Cambridge, Massachusetts, to Venice Beach, California, and lands in between and far beyond, Gabrielle Zevin’s Tomorrow, and Tomorrow, and Tomorrow examines the multifarious nature of identity, disability, failure, the redemptive possibilities in play, and above all, our need to connect: to be loved and to love.","Tomorrow,+and+Tomorrow,+and+Tomorrow",http://books.google.com/books/content?id=pLpHEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
23,The Song of the Cell,Siddhartha Mukherjee,History,"Presenting revelatory and exhilarating stories of scientists, doctors, and the patients whose lives may be saved by their work, the author draws on his own experience as a researcher, doctor, and prolific reader to explore how the discovery of cells created a new kind of medicine based on the therapeutic manipulation of cells.",The+Song+of+the+Cell,http://books.google.com/books/content?id=zkqMEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
24,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Fiction,"NEW YORK TIMES BESTSELLER “If you’re looking for a book to take on holiday this summer, The Seven Husbands of Evelyn Hugo has got all the glitz and glamour to make it a perfect beach read.” —Bustle From the New York Times bestselling author of Daisy Jones & the Six—an entrancing and “wildly addictive journey of a reclusive Hollywood starlet” (PopSugar) as she reflects on her relentless rise to the top and the risks she took, the loves she lost, and the long-held secrets the public could never imagine. Aging and reclusive Hollywood movie icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. But when she chooses unknown magazine reporter Monique Grant for the job, no one is more astounded than Monique herself. Why her? Why now? Monique is not exactly on top of the world. Her husband has left her, and her professional life is going nowhere. Regardless of why Evelyn has selected her to write her biography, Monique is determined to use this opportunity to jumpstart her career. Summoned to Evelyn’s luxurious apartment, Monique listens in fascination as the actress tells her story. From making her way to Los Angeles in the 1950s to her decision to leave show business in the ‘80s, and, of course, the seven husbands along the way, Evelyn unspools a tale of ruthless ambition, unexpected friendship, and a great forbidden love. Monique begins to feel a very real connection to the legendary star, but as Evelyn’s story near its conclusion, it becomes clear that her life intersects with Monique’s own in tragic and irreversible ways. “Heartbreaking, yet beautiful” (Jamie Blynn, Us Weekly), The Seven Husbands of Evelyn Hugo is “Tinseltown drama at its finest” (Redbook): a mesmerizing journey through the splendor of old Hollywood into the harsh realities of the present day as two women struggle with what it means—and what it costs—to face the truth.",The+Seven+Husbands+of+Evelyn+Hugo,http://books.google.com/books/content?id=njVpDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
25,9-Nov,Colleen Hoover,Fiction,"When Fallon and aspiring novelist Ben meet and fall in love the day before Fallon's cross-country move, they vow to meet on the same date every year, until Fallon suspects Ben is fabricating their relationship to create the perfect plot twist.",9-Nov,http://books.google.com/books/content?id=DHwmDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
26,The Silent Patient,Alex Michaelides,Fiction,"**THE INSTANT #1 NEW YORK TIMES BESTSELLER** ""An unforgettable—and Hollywood-bound—new thriller... A mix of Hitchcockian suspense, Agatha Christie plotting, and Greek tragedy."" —Entertainment Weekly The Silent Patient is a shocking psychological thriller of a woman’s act of violence against her husband—and of the therapist obsessed with uncovering her motive. Alicia Berenson’s life is seemingly perfect. A famous painter married to an in-demand fashion photographer, she lives in a grand house with big windows overlooking a park in one of London’s most desirable areas. One evening her husband Gabriel returns home late from a fashion shoot, and Alicia shoots him five times in the face, and then never speaks another word. Alicia’s refusal to talk, or give any kind of explanation, turns a domestic tragedy into something far grander, a mystery that captures the public imagination and casts Alicia into notoriety. The price of her art skyrockets, and she, the silent patient, is hidden away from the tabloids and spotlight at the Grove, a secure forensic unit in North London. Theo Faber is a criminal psychotherapist who has waited a long time for the opportunity to work with Alicia. His determination to get her to talk and unravel the mystery of why she shot her husband takes him down a twisting path into his own motivations—a search for the truth that threatens to consume him....",The+Silent+Patient,http://books.google.com/books/content?id=tLdiDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
27,Maybe Someday,Colleen Hoover,Fiction,"When she discovers that her boyfriend is cheating on her, Sydney, a 22-year-old college student, must decide what to do next, especially when she becomes captivated by her mysterious neighbor Ridge.",Maybe+Someday,http://books.google.com/books/content?id=qoINAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
28,Braiding Sweetgrass,Robin Kimmerer,Nature,"As a botanist, Robin Wall Kimmerer has been trained to ask questions of nature with the tools of science. As a member of the Citizen Potawatomi Nation, she embraces the notion that plants and animals are our oldest teachers. In Braiding Sweetgrass, Kimmerer brings these two lenses of knowledge together to take us on “a journey that is every bit as mythic as it is scientific, as sacred as it is historical, as clever as it is wise” (Elizabeth Gilbert). Drawing on her life as an indigenous scientist, and as a woman, Kimmerer shows how other living beings—asters and goldenrod, strawberries and squash, salamanders, algae, and sweetgrass—offer us gifts and lessons, even if we've forgotten how to hear their voices. In reflections that range from the creation of Turtle Island to the forces that threaten its flourishing today, she circles toward a central argument: that the awakening of ecological consciousness requires the acknowledgment and celebration of our reciprocal relationship with the rest of the living world. For only when we can hear the languages of other beings will we be capable of understanding the generosity of the earth, and learn to give our own gifts in return.",Braiding+Sweetgrass,http://books.google.com/books/content?id=vmM9BAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,positive
