,title,summary,sentiment_BERT,sentiment_RNN,title_gs,description,img,author,genres
10,I'm Glad My Mom Died,The actress and filmmaker describes her eating disorders and difficult relationship with her mother.,neutral,neutral,I'M+GLAD+MY+MOM+DIED,"""Jennette McCurdy was six years old when she had her first acting audition. Her mother's dream was for her only daughter to become a star, and Jennette would do anything to make her mother happy. So she went along with what Mom called ""calorie restriction,"" eating little and weighing herself five times a day. She endured extensive at-home makeovers while Mom chided, ""Your eyelashes are invisible, okay? You think Dakota Fanning doesn't tint hers?"" She was even showered by Mom until age sixteen while sharing her diaries, email, and all her income. In I'm Glad My Mom Died, Jennette recounts all this in unflinching detail--just as she chronicles what happens when the dream finally comes true. Cast in a new Nickelodeon series called iCarly, she is thrust into fame. Though Mom is ecstatic, emailing fan club moderators and getting on a first-name basis with the paparazzi (""Hi Gale!""), Jennette is riddled with anxiety, shame, and self-loathing, which manifest into eating disorders, addiction, and a series of unhealthy relationships. These issues only get worse when, soon after taking the lead in the iCarly spinoff Sam & Cat alongside Ariana Grande, her mother dies of cancer. Finally, after discovering therapy and quitting acting, Jennette embarks on recovery and decides for the first time in her life what she really wants."" -- Amazon.com.",http://books.google.com/books/content?id=13mAEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Jennette McCurdy,Biography & Autobiography
11,"Friends, Lovers and the Big Terrible Thing","The actor, known for playing Chandler Bing on “Friends,” shares stories from his childhood and his struggles with sobriety.",positive,neutral,"FRIENDS,+LOVERS,+AND+THE+BIG+TERRIBLE+THING","The beloved star of Friends takes us behind the scenes of the hit sitcom and his struggles with addiction in this candid, funny, and revelatory memoir that delivers a powerful message of hope and persistence.'Hi, my name is Matthew, although you may know me by another name. My friends call me Matty. AndI should be dead.'So begins the riveting story of acclaimed actor Matthew Perry, taking us along on his journey from childhood ambition to fame to addiction and recovery in the aftermath of a life-threatening health scare. Before the frequent hospital visits and stints in rehab, there was five-year-old Matthew, who travelled from Montreal to Los Angeles, shuffling between his separated parents; fourteen-year-old Matthew, who was a nationally ranked tennis star in Canada; twenty-four-year-old Matthew, who nabbed a coveted role as a lead cast member on the talked-about pilot then called Friends Like Us. . . and so much more.In an extraordinary story that only he could tell - and in the heartfelt, hilarious, and warmly familiar way only he could tell it - Matthew Perry lays bare the fractured family that raised him (and also left him to his own devices), the desire for recognition that drove him to fame, and the void inside him that could not be filled even by his greatest dreams coming true. But he also details the peace he's found in sobriety and how he feels about the ubiquity of Friends, sharing stories about his castmates and other stars he met along the way. Frank, self-aware, and with his trademark humour, Perry vividly depicts his lifelong battle with addiction and what fuelled it despite seemingly having it all.Friends, Lovers, and the Big Terrible Thing is an unforgettable memoir that is both intimate and eye-opening - as well as a hand extended to anyone struggling with sobriety. Unflinchingly honest, moving, and uproariously funny, this is the book fans have been waiting for.",http://books.google.com/books/content?id=g13GzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Matthew Perry,Biography & Autobiography
12,Revolutionary Power,The Pulitzer Prize-winning biographer details Samuel Adams’s contributions to the American Revolution.,positive,positive,THE+REVOLUTIONARY,"In September 2017, Hurricane Maria hit Puerto Rico, completely upending the energy grid of the small island. The nearly year-long power outage that followed vividly shows how the new climate reality intersects with race and access to energy. The island is home to brown and black US citizens who lack the political power of those living in the continental US. As the world continues to warm and storms like Maria become more commonplace, it is critical that we rethink our current energy system to enable reliable, locally produced, and locally controlled energy without replicating the current structures of power and control. In Revolutionary Power, Shalanda Baker arms those made most vulnerable by our current energy system with the tools they need to remake the system in the service of their humanity. She argues that people of color, poor people, and indigenous people must engage in the creation of the new energy system in order to upend the unequal power dynamics of the current system. Revolutionary Power is a playbook for the energy transformation complete with a step-by-step analysis of the key energy policy areas that are ripe for intervention. Baker tells the stories of those who have been left behind in our current system and those who are working to be architects of a more just system. She draws from her experience as an energy-justice advocate, a lawyer, and a queer woman of color to inspire activists working to build our new energy system. Climate change will force us to rethink the way we generate and distribute energy and regulate the system. But how much are we willing to change the system? This unique moment in history provides an unprecedented opening for a deeper transformation of the energy system, and thus, an opportunity to transform society. Revolutionary Power shows us how.",http://books.google.com/books/content?id=0bQHEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Shalanda Baker,Political Science
13,The Body Keeps the Score,"How trauma affects the body and mind, and innovative treatments for recovery.",positive,negative,THE+BODY+KEEPS+THE+SCORE,"Originally published by Viking Penguin, 2014.",http://books.google.com/books/content?id=vHnZCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Bessel A. Van der Kolk,Medical
14,And There Was Light,The Pulitzer Prize-winning biographer portrays the life of Abraham Lincoln.,positive,neutral,AND+THERE+WAS+LIGHT,"Pulitzer Prize–winning biographer and #1 New York Times bestselling author Jon Meacham chronicles the life of Abraham Lincoln, charting how—and why—he confronted secession, threats to democracy, and the tragedy of slavery to expand the possibilities of America. “In his captivating new book, Jon Meacham has given us the Lincoln for our time.”—Henry Louis Gates, Jr. A president who governed a divided country has much to teach us in a twenty-first-century moment of polarization and political crisis. Hated and hailed, excoriated and revered, Abraham Lincoln was at the pinnacle of American power when implacable secessionists gave no quarter in a clash of visions bound up with money, race, identity, and faith. In him we can see the possibilities of the presidency as well as its limitations. At once familiar and elusive, Lincoln tends to be seen as the greatest of American presidents—a remote icon—or as a politician driven more by calculation than by conviction. This illuminating new portrait gives us a very human Lincoln—an imperfect man whose moral antislavery commitment, essential to the story of justice in America, began as he grew up in an antislavery Baptist community; who insisted that slavery was a moral evil; and who sought, as he put it, to do right as God gave him to see the right. This book tells the story of Lincoln from his birth on the Kentucky frontier in 1809 to his leadership during the Civil War to his tragic assassination in 1865: his rise, his self-education, his loves, his bouts of depression, his political failures, his deepening faith, and his persistent conviction that slavery must end. In a nation shaped by the courage of the enslaved of the era and by the brave witness of Black Americans, Lincoln’s story illustrates the ways and means of politics in a democracy, the roots and durability of racism, and the capacity of conscience to shape events.",http://books.google.com/books/content?id=bp6OEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Jon Meacham,Biography & Autobiography
15,What If?,The creator of the web comic “xkcd” and former NASA roboticist looks into hypothetical and oddball scenarios.,positive,negative,WHAT+IF?+2,"The creator of the incredibly popular webcomic xkcd presents his heavily researched answers to his fans' oddest questions, including “What if I took a swim in a spent-nuclear-fuel pool?” and “Could you build a jetpack using downward-firing machine guns?” 100,000 first printing.",http://books.google.com/books/content?id=tgZIBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Randall Munroe,Humor
16,The Philosophy of Modern Song,"In a collection of more than 60 essays, the musician and winner of the Nobel Prize in Literature explores the nature of popular music.",positive,neutral,THE+PHILOSOPHY+OF+MODERN+SONG,"The Philosophy of Modern Song is Bob Dylan’s first book of new writing since 2004’s Chronicles: Volume One—and since winning the Nobel Prize for Literature in 2016. Dylan, who began working on the book in 2010, offers his extraordinary insight into the nature of popular music. He writes over sixty essays focusing on songs by other artists, spanning from Stephen Foster to Elvis Costello, and in between ranging from Hank Williams to Nina Simone. He analyzes what he calls the trap of easy rhymes, breaks down how the addition of a single syllable can diminish a song, and even explains how bluegrass relates to heavy metal. These essays are written in Dylan’s unique prose. They are mysterious and mercurial, poignant and profound, and often laugh-out-loud funny. And while they are ostensibly about music, they are really meditations and reflections on the human condition. Running throughout the book are nearly 150 carefully curated photos as well as a series of dream-like riffs that, taken together, resemble an epic poem and add to the work’s transcendence. In 2020, with the release of his outstanding album Rough and Rowdy Ways, Dylan became the first artist to have an album hit the Billboard Top 40 in each decade since the 1960s. The Philosophy of Modern Song contains much of what he has learned about his craft in all those years, and like everything that Dylan does, it is a momentous artistic achievement.",http://books.google.com/books/content?id=SEJiEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Bob Dylan,Biography & Autobiography
17,Dreamland (YA edition),Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.,positive,neutral,DREAMLAND,"As an adult book, Sam Quinones's Dreamland took the world by storm, winning the NBCC Award for General Nonfiction and hitting at least a dozen Best Book of the Year lists. Now, adapted for the first time for a young adult audience, this compelling reporting explains the roots of the current opiate crisis. In 1929, in the blue-collar city of Portsmouth, Ohio, a company built a swimming pool the size of a football field; named Dreamland, it became the vital center of the community. Now, addiction has devastated Portsmouth, as it has hundreds of small rural towns and suburbs across America. How that happened is the riveting story of Dreamland. Quinones explains how the rise of the prescription drug OxyContin, a miraculous and extremely addictive painkiller pushed by pharmaceutical companies, paralleled the massive influx of black tar heroin--cheap, potent, and originating from one small county on Mexico's west coast, independent of any drug cartel. Introducing a memorable cast of characters--pharmaceutical pioneers, young Mexican entrepreneurs, narcotics investigators, survivors, teens, and parents--Dreamland is a revelatory account of the massive threat facing America and its heartland.",http://books.google.com/books/content?id=JbGgDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Sam Quinones,Juvenile Nonfiction
18,Triple Cross,Detective Alex Cross and the true-crime author Thomas Tull search for a serial killer known as the Family Man.,positive,neutral,TRIPLE+CROSS,"A suspenseful tale of spies and secrets, Triple Cross is a deelply human story of a naive young man's crusade to expose Israel's nuclear weapons program in the hope that such exposure would bring peace.",http://books.google.com/books/content?id=OUffAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Louis Toscano,"Defense information, Classified"
19,Mad Honey,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush.",positive,neutral,MAD+HONEY,"NEW YORK TIMES BESTSELLER • “Alternatingly heart-pounding and heartbreaking. This collaboration between two best-selling authors seamlessly weaves together Olivia and Lily’s journeys, creating a provocative exploration of the strength that love and acceptance require.”—The Washington Post GOOD MORNING AMERICA BOOK CLUB PICK • PEOPLE’S BOOK OF THE WEEK • ONE OF THE BEST BOOKS OF THE YEAR: PopSugar Olivia McAfee knows what it feels like to start over. Her picture-perfect life—living in Boston, married to a brilliant cardiothoracic surgeon, raising their beautiful son, Asher—was upended when her husband revealed a darker side. She never imagined that she would end up back in her sleepy New Hampshire hometown, living in the house she grew up in and taking over her father’s beekeeping business. Lily Campanello is familiar with do-overs, too. When she and her mom relocate to Adams, New Hampshire, for her final year of high school, they both hope it will be a fresh start. And for just a short while, these new beginnings are exactly what Olivia and Lily need. Their paths cross when Asher falls for the new girl in school, and Lily can’t help but fall for him, too. With Ash, she feels happy for the first time. Yet she wonders if she can trust him completely. . . . Then one day, Olivia receives a phone call: Lily is dead, and Asher is being questioned by the police. Olivia is adamant that her son is innocent. But she would be lying if she didn’t acknowledge the flashes of his father’s temper in Ash, and as the case against him unfolds, she realizes he’s hidden more than he’s shared with her. Mad Honey is a riveting novel of suspense, an unforgettable love story, and a moving and powerful exploration of the secrets we keep and the risks we take in order to become ourselves.",http://books.google.com/books/content?id=bbJYEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Jodi Picoult,Fiction
20,A World of Curiosities,"The 18th book in the Chief Inspector Gamache series. When an attic room that was sealed off 160 years ago is opened, an old enemy returns.",positive,neutral,A+WORLD+OF+CURIOSITIES,"INSTANT #1 NEW YORK TIMES BESTSELLER Chief Inspector Armand Gamache returns in the eighteenth book in #1 New York Times bestseller Louise Penny's beloved series. It’s spring and Three Pines is reemerging after the harsh winter. But not everything buried should come alive again. Not everything lying dormant should reemerge. But something has. As the villagers prepare for a special celebration, Armand Gamache and Jean-Guy Beauvoir find themselves increasingly worried. A young man and woman have reappeared in the Sûreté du Québec investigators’ lives after many years. The two were young children when their troubled mother was murdered, leaving them damaged, shattered. Now they’ve arrived in the village of Three Pines. But to what end? Gamache and Beauvoir’s memories of that tragic case, the one that first brought them together, come rushing back. Did their mother’s murder hurt them beyond repair? Have those terrible wounds, buried for decades, festered and are now about to erupt? As Chief Inspector Gamache works to uncover answers, his alarm grows when a letter written by a long dead stone mason is discovered. In it the man describes his terror when bricking up an attic room somewhere in the village. Every word of the 160-year-old letter is filled with dread. When the room is found, the villagers decide to open it up. As the bricks are removed, Gamache, Beauvoir and the villagers discover a world of curiosities. But the head of homicide soon realizes there’s more in that room than meets the eye. There are puzzles within puzzles, and hidden messages warning of mayhem and revenge. In unsealing that room, an old enemy is released into their world. Into their lives. And into the very heart of Armand Gamache’s home.",http://books.google.com/books/content?id=cEJtEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Louise Penny,Fiction
21,"Tomorrow, and Tomorrow, and Tomorrow",Two friends find their partnership challenged in the world of video game design.,positive,neutral,"TOMORROW,+AND+TOMORROW,+AND+TOMORROW","NEW YORK TIMES BEST SELLER • Sam and Sadie—two college friends, often in love, but never lovers—become creative partners in a dazzling and intricately imagined world of video game design, where success brings them fame, joy, tragedy, duplicity, and, ultimately, a kind of immortality. It is a love story, but not one you have read before. ""Delightful and absorbing."" —The New York Times • ""Utterly brilliant."" —John Green One of the Best Books of the Year: The New York Times, Entertainment Weekly, TIME, GoodReads, Oprah Daily From the best-selling author of The Storied Life of A. J. Fikry: On a bitter-cold day, in the December of his junior year at Harvard, Sam Masur exits a subway car and sees, amid the hordes of people waiting on the platform, Sadie Green. He calls her name. For a moment, she pretends she hasn’t heard him, but then, she turns, and a game begins: a legendary collaboration that will launch them to stardom. These friends, intimates since childhood, borrow money, beg favors, and, before even graduating college, they have created their first blockbuster, Ichigo. Overnight, the world is theirs. Not even twenty-five years old, Sam and Sadie are brilliant, successful, and rich, but these qualities won’t protect them from their own creative ambitions or the betrayals of their hearts. Spanning thirty years, from Cambridge, Massachusetts, to Venice Beach, California, and lands in between and far beyond, Gabrielle Zevin’s Tomorrow, and Tomorrow, and Tomorrow examines the multifarious nature of identity, disability, failure, the redemptive possibilities in play, and above all, our need to connect: to be loved and to love.",http://books.google.com/books/content?id=pLpHEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Gabrielle Zevin,Fiction
22,The Song of the Cell,The Pulitzer Prize-winning author chronicles the discovery of cells and describes how modern medicine uses them.,positive,neutral,THE+SONG+OF+THE+CELL,"From Pulitzer Prize-winning and #1 New York Times bestselling author of The Emperor of All Maladies and The Gene, The Song of The Cell is the third book in this extraordinary writer's exploration of what it means to be human-rich with Siddhartha Mukherjee's revelatory and exhilarating stories of scientists, doctors, and all the patients whose lives may be saved by their work. In the late 1600s, a distinguished English polymath, Robert Hooke, and an eccentric Dutch cloth merchant, Antonie van Leeuwenhoek, look down their handmade microscopes. What they see introduces a radical concept that sweeps through biology and medicine, touching virtually every aspect of the two sciences and altering both forever. It is the fact that complex living organisms are assemblages of tiny, self-contained, self-regulating units. Our organs, our physiology, our selves-hearts, blood, brains-are built from these compartments. Hooke christens them 'cells'. The discovery of cells-and the reframing of the human body as a cellular ecosystem-announced the birth of a new kind of medicine based on the therapeutic manipulations of cells. A hip fracture, a cardiac arrest, Alzheimer's, dementia, AIDS, pneumonia, lung cancer, kidney failure, arthritis, COVID-all could be viewed as the results of cells, or systems of cells, functioning abnormally. And all could be perceived as loci of cellular therapies. In The Song of the Cell, Mukherjee tells the story of how scientists discovered cells, began to understand them, and are now using that knowledge to create new humans. He seduces readers with writing so vivid, lucid, and suspenseful that complex science becomes thrilling. Told in six parts, laced with Mukherjee's own experience as a researcher, doctor, and prolific reader, The Song of the Cell is both panoramic and intimate-a masterpiece.",http://books.google.com/books/content?id=qLyVEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Siddhartha Mukherjee,Science
